
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.0.5.RELEASE)

2018-10-11 13:56:48.048  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMREPREP readyCount: 0
2018-10-11 13:56:48.048  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMREPREP, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMREPREP, moveMaxCount=null)
2018-10-11 13:56:48.048  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMTLRCUR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMTLRCUR, moveMaxCount=null)
2018-10-11 13:56:48.060  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMTLRCUR delCount: 0
2018-10-11 13:56:48.091  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMTLRCUR readyCount: 0
2018-10-11 13:56:48.092  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMTLRCUR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMTLRCUR, moveMaxCount=null)
2018-10-11 13:56:48.092  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMTLREMP, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMTLREMP, moveMaxCount=null)
2018-10-11 13:56:48.093  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMTLREMP delCount: 0
2018-10-11 13:56:48.101  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMTLREMP readyCount: 0
2018-10-11 13:56:48.101  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMTLREMP, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMTLREMP, moveMaxCount=null)
2018-10-11 13:56:48.101  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMTLRTLR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMTLRTLR, moveMaxCount=null)
2018-10-11 13:56:48.103  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMTLRTLR delCount: 0
2018-10-11 13:56:48.124  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMTLRTLR readyCount: 0
2018-10-11 13:56:48.125  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMTLRTLR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMTLRTLR, moveMaxCount=null)
2018-10-11 13:56:48.125  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRPOSPOS, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRPOSPOS, moveMaxCount=null)
2018-10-11 13:56:48.151  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRPOSPOS delCount: 0
2018-10-11 13:56:48.190  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRPOSPOS readyCount: 0
2018-10-11 13:56:48.190  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRPOSPOS, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRPOSPOS, moveMaxCount=null)
2018-10-11 13:56:48.191  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRSREDTL, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRSREDTL, moveMaxCount=null)
2018-10-11 13:56:48.211  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRSREDTL delCount: 0
2018-10-11 13:56:48.243  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRSREDTL readyCount: 0
2018-10-11 13:56:48.243  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRSREDTL, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRSREDTL, moveMaxCount=null)
2018-10-11 13:56:48.244  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRSREPOS, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRSREPOS, moveMaxCount=null)
2018-10-11 13:56:48.262  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRSREPOS delCount: 0
2018-10-11 13:56:48.279  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRSREPOS readyCount: 0
2018-10-11 13:56:48.280  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRSREPOS, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRSREPOS, moveMaxCount=null)
2018-10-11 13:56:48.280  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CRSRESRE, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CRSRESRE, moveMaxCount=null)
2018-10-11 13:56:48.298  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CRSRESRE delCount: 0
